"Quantity","Rceattle 2027","SPM 2027","Rceattle 2028","SPM 2028"
"Total biomass (t)",1441829,1441850,1325116,1325629
"Female spawning biomass (t)",877993,877993,781378,781378
"B100% (t)",1071948,1073870,1071948,1073870
"B40% (t)",428779,429548,428779,429548
"B35% (t)",375182,375855,375182,375855
"FOFL",0.1179,0.1179,0.1179,0.1179
"max FABC",0.0994,0.0994,0.0994,0.0994
"FABC",0.0994,0.0994,0.0994,0.0994
"OFL (t)",157851,157851,140664,140665
"max ABC (t)",134587,134587,119912,119913
"ABC (t)",134587,134587,119912,119913
