"Alt","Scenario","Year","Catch","ABC","OFL","SSB","B_B35","Tot_biom","Rec","F"
1,"Maximum permissible ABC",2026,16834.9430395913,NA,NA,706472.229780052,2.43351818159289,1973700.70611411,2409715.6582363,0.0148725962212561
1,"Maximum permissible ABC",2027,12408.7,237731,284071,709459,2.44380642694508,1980340,2569281.764,0.0108979
1,"Maximum permissible ABC",2028,12408.7,238202.454,284627.177,710860,2.44863231935627,1997650.47,2524915.965,0.0108748108
1,"Maximum permissible ABC",2029,238445.423,238445.423,284940.677,711802.214,2.45187787495393,2019565.44,2554901.177,0.235407
1,"Maximum permissible ABC",2030,191863.336,191863.336,229549.408,554766.45,1.91095160673627,1824020.93,2546919.155,0.235407
1,"Maximum permissible ABC",2031,163278.863,163278.863,195593.468,456116.611,1.57114182130075,1713574.71,2686357.229,0.235407
1,"Maximum permissible ABC",2032,146953.679,146953.679,176231.288,398222.934,1.37172093872391,1657478.3,2374808.256,0.235407
1,"Maximum permissible ABC",2033,138481.89,138481.89,166200.245,367650.127,1.2664096772749,1629063.64,2564607.259,0.235405308
1,"Maximum permissible ABC",2034,130343.7044,130343.7044,156622.4485,352972.666,1.21585161328102,1613856.292,2445810.653,0.225298632
1,"Maximum permissible ABC",2035,125605.6358,125605.6358,151031.9606,348632.207,1.20090044400966,1607474.186,2462989.075,0.214907827
1,"Maximum permissible ABC",2036,125140.1823,125140.1823,150477.0353,349405.289,1.20356340657713,1604372.246,2514569.57,0.211384261
1,"Maximum permissible ABC",2037,125683.9952,125683.9952,151117.3393,351712.874,1.21151212673393,1600857.208,2486739.049,0.210438367
1,"Maximum permissible ABC",2038,125865.5623,125865.5623,151311.4081,353620.181,1.2180820470602,1596807.515,2433686.71,0.210044886
1,"Maximum permissible ABC",2039,125191.295,125191.295,150494.2332,352848.06,1.21542239475869,1592049.829,2482731.356,0.2093541891
1,"Maximum permissible ABC",2040,124623.508,124623.508,149813.9867,351130.045,1.209504510711,1587846.601,2359715.142,0.209192262
2,"Author-specified ABC",2026,16834.9430395913,NA,NA,706472.229780052,2.43351818159289,1973700.70611411,2409715.6582363,0.0148725962212561
2,"Author-specified ABC",2027,12408.7,237731,284071,709459,2.44380642694508,1980340,2569281.764,0.0108979
2,"Author-specified ABC",2028,12408.7,238202.454,284627.177,710860,2.44863231935627,1997650.47,2524915.965,0.0108748108
2,"Author-specified ABC",2029,238445.423,238445.423,284940.677,711802.214,2.45187787495393,2019565.44,2554901.177,0.235407
2,"Author-specified ABC",2030,191863.336,191863.336,229549.408,554766.45,1.91095160673627,1824020.93,2546919.155,0.235407
2,"Author-specified ABC",2031,163278.863,163278.863,195593.468,456116.611,1.57114182130075,1713574.71,2686357.229,0.235407
2,"Author-specified ABC",2032,146953.679,146953.679,176231.288,398222.934,1.37172093872391,1657478.3,2374808.256,0.235407
2,"Author-specified ABC",2033,138481.89,138481.89,166200.245,367650.127,1.2664096772749,1629063.64,2564607.259,0.235405308
2,"Author-specified ABC",2034,130343.7044,130343.7044,156622.4485,352972.666,1.21585161328102,1613856.292,2445810.653,0.225298632
2,"Author-specified ABC",2035,125605.6358,125605.6358,151031.9606,348632.207,1.20090044400966,1607474.186,2462989.075,0.214907827
2,"Author-specified ABC",2036,125140.1823,125140.1823,150477.0353,349405.289,1.20356340657713,1604372.246,2514569.57,0.211384261
2,"Author-specified ABC",2037,125683.9952,125683.9952,151117.3393,351712.874,1.21151212673393,1600857.208,2486739.049,0.210438367
2,"Author-specified ABC",2038,125865.5623,125865.5623,151311.4081,353620.181,1.2180820470602,1596807.515,2433686.71,0.210044886
2,"Author-specified ABC",2039,125191.295,125191.295,150494.2332,352848.06,1.21542239475869,1592049.829,2482731.356,0.2093541891
2,"Author-specified ABC",2040,124623.508,124623.508,149813.9867,351130.045,1.209504510711,1587846.601,2359715.142,0.209192262
3,"Average recent F",2026,16834.9430395913,NA,NA,706472.229780052,2.43351818159289,1973700.70611411,2409715.6582363,0.0148725962212561
3,"Average recent F",2027,12408.7,13711.6,284071,709459,2.44380642694508,1980340,2569281.764,0.0108979
3,"Average recent F",2028,12408.7,13740.5772,284627.177,710860,2.44863231935627,1997650.47,2524915.965,0.0108748108
3,"Average recent F",2029,13749.7599,13749.7599,284940.677,711802.214,2.45187787495393,2019565.44,2554901.177,0.0120499
3,"Average recent F",2030,13766.3821,13766.3821,285446.516,712949.879,2.45583112821166,2042810.31,2546919.155,0.0120499
3,"Average recent F",2031,13828.5092,13828.5092,286902.443,715285.246,2.46387554640056,2066737.6,2686357.229,0.0120499
3,"Average recent F",2032,13942.0242,13942.0242,289436.785,720102.066,2.48046759142844,2092099.51,2374808.256,0.0120499
3,"Average recent F",2033,14103.1905,14103.1905,292909.94,728410.97,2.50908848847263,2113497.77,2564607.259,0.0120499
3,"Average recent F",2034,14293.3274,14293.3274,296868.621,738824.237,2.54495808603936,2129891.81,2445810.653,0.0120499
3,"Average recent F",2035,14486.004,14486.004,300789.267,749118.015,2.58041609113048,2140579.34,2462989.075,0.0120499
3,"Average recent F",2036,14659.26642,14659.26642,304281.909,758299.742,2.61204351914684,2145948.94,2514569.57,0.0120499
3,"Average recent F",2037,14799.40647,14799.40647,307070.786,766510.09,2.64032492964393,2148129.39,2486739.049,0.0120499
3,"Average recent F",2038,14895.92469,14895.92469,308915.638,773240.25,2.66350767630352,2148605.4,2433686.71,0.0120499
3,"Average recent F",2039,14943.64639,14943.64639,309748.77,776388.325,2.67435155300042,2147110.977,2482731.356,0.0120499
3,"Average recent F",2040,14948.86813,14948.86813,309771.706,776821.71,2.67584439338773,2144424.706,2359715.142,0.0120499
4,"Alternative SPR rate",2026,16834.9430395913,NA,NA,706472.229780052,2.43351818159289,1973700.70611411,2409715.6582363,0.0148725962212561
4,"Alternative SPR rate",2027,12408.7,60864.1,284071,709459,2.44380642694508,1980340,2569281.764,0.0108979
4,"Alternative SPR rate",2028,12408.7,60991.0361,284627.177,710860,2.44863231935627,1997650.47,2524915.965,0.0108748108
4,"Alternative SPR rate",2029,61035.9974,61035.9974,284940.677,711802.214,2.45187787495393,2019565.44,2554901.177,0.054757
